========================
PROJECT 3 — LOAD BALANCER LOG
========================
Servers (start): 10
Clock cycles: 10000
TASK TIME RANGE (required): [MIN=5, MAX=40] cycles

Scaling policy:
  Lower threshold = 50 * active_servers
  Upper threshold = 80 * active_servers
  Rest window after scaling (n): 25 cycles

Request arrival model:
  Arrival chance per cycle: 0.3
  Batch size per arrival: 1 to 2
  Initial fill rule: servers * 100

Firewall / IP blocker:
  Blocked ranges: 192.168.10., 10.10.
  Rejection action: discard + log
========================
[INFO] Starting queue size (required): 1000 (seeded from servers * 100)
[SCALE_UP] t=00001 SCALE_UP to 11 | queue=990 (above 80*servers)
[ARRIVAL] t=02460 ARRIVAL +2 | queue=684 | rejected_total=0
[ARRIVAL] t=02465 ARRIVAL +1 | queue=683 | rejected_total=0
[ARRIVAL] t=02473 ARRIVAL +1 | queue=680 | rejected_total=0
[ARRIVAL] t=02475 ARRIVAL +2 | queue=681 | rejected_total=0
[ARRIVAL] t=02477 ARRIVAL +1 | queue=679 | rejected_total=0
[ARRIVAL] t=02479 ARRIVAL +1 | queue=678 | rejected_total=0
[ARRIVAL] t=02480 ARRIVAL +2 | queue=680 | rejected_total=0
[ARRIVAL] t=02481 ARRIVAL +2 | queue=682 | rejected_total=0
[ARRIVAL] t=02483 ARRIVAL +2 | queue=683 | rejected_total=0
[ARRIVAL] t=02485 ARRIVAL +2 | queue=682 | rejected_total=0
[ARRIVAL] t=02487 ARRIVAL +2 | queue=682 | rejected_total=0
[ARRIVAL] t=02490 ARRIVAL +2 | queue=683 | rejected_total=0
[ARRIVAL] t=02491 ARRIVAL +2 | queue=685 | rejected_total=0
[ARRIVAL] t=02492 ARRIVAL +2 | queue=686 | rejected_total=0
[ARRIVAL] t=02496 ARRIVAL +1 | queue=686 | rejected_total=0
[ARRIVAL] t=02498 ARRIVAL +2 | queue=687 | rejected_total=0
[ARRIVAL] t=02500 ARRIVAL +2 | queue=689 | rejected_total=0
[HEARTBEAT] t=02500 queue=689 servers=13 busy=13 completed=1411 rejected=0
[ARRIVAL] t=02504 ARRIVAL +2 | queue=686 | rejected_total=0
[ARRIVAL] t=02505 ARRIVAL +1 | queue=687 | rejected_total=0
[ARRIVAL] t=02506 ARRIVAL +1 | queue=687 | rejected_total=0
[ARRIVAL] t=02507 ARRIVAL +2 | queue=689 | rejected_total=0
[ARRIVAL] t=02510 ARRIVAL +2 | queue=689 | rejected_total=0
[ARRIVAL] t=02511 ARRIVAL +2 | queue=691 | rejected_total=0
[ARRIVAL] t=02512 ARRIVAL +1 | queue=692 | rejected_total=0
[ARRIVAL] t=02514 ARRIVAL +2 | queue=694 | rejected_total=0
[ARRIVAL] t=02515 ARRIVAL +2 | queue=695 | rejected_total=0
[ARRIVAL] t=02516 ARRIVAL +1 | queue=695 | rejected_total=0
[ARRIVAL] t=02518 ARRIVAL +1 | queue=694 | rejected_total=0
[ARRIVAL] t=02519 ARRIVAL +1 | queue=695 | rejected_total=0
[ARRIVAL] t=02520 ARRIVAL +2 | queue=696 | rejected_total=0
[ARRIVAL] t=02522 ARRIVAL +2 | queue=698 | rejected_total=0
[ARRIVAL] t=02524 ARRIVAL +1 | queue=698 | rejected_total=0
[ARRIVAL] t=02526 ARRIVAL +2 | queue=699 | rejected_total=0
[ARRIVAL] t=02530 ARRIVAL +1 | queue=699 | rejected_total=0
[ARRIVAL] t=02539 ARRIVAL +1 | queue=697 | rejected_total=0
[ARRIVAL] t=02543 ARRIVAL +2 | queue=697 | rejected_total=0
[ARRIVAL] t=02544 ARRIVAL +2 | queue=698 | rejected_total=0
[ARRIVAL] t=02550 ARRIVAL +1 | queue=694 | rejected_total=0
[ARRIVAL] t=02551 ARRIVAL +1 | queue=695 | rejected_total=0
[ARRIVAL] t=02557 ARRIVAL +1 | queue=692 | rejected_total=0
[ARRIVAL] t=02559 ARRIVAL +1 | queue=692 | rejected_total=0
[ARRIVAL] t=02560 ARRIVAL +1 | queue=691 | rejected_total=0
[ARRIVAL] t=02570 ARRIVAL +2 | queue=686 | rejected_total=0
[ARRIVAL] t=02571 ARRIVAL +2 | queue=686 | rejected_total=0
[ARRIVAL] t=02572 ARRIVAL +2 | queue=687 | rejected_total=0
[ARRIVAL] t=02573 ARRIVAL +2 | queue=689 | rejected_total=0
[ARRIVAL] t=02575 ARRIVAL +1 | queue=689 | rejected_total=0
[ARRIVAL] t=02580 ARRIVAL +2 | queue=688 | rejected_total=0
[ARRIVAL] t=02582 ARRIVAL +2 | queue=689 | rejected_total=0
[ARRIVAL] t=02583 ARRIVAL +1 | queue=689 | rejected_total=0
[ARRIVAL] t=02585 ARRIVAL +2 | queue=691 | rejected_total=0
[ARRIVAL] t=02586 ARRIVAL +1 | queue=691 | rejected_total=0
[ARRIVAL] t=02589 ARRIVAL +2 | queue=691 | rejected_total=0
[ARRIVAL] t=02591 ARRIVAL +1 | queue=692 | rejected_total=0
[ARRIVAL] t=02593 ARRIVAL +1 | queue=693 | rejected_total=0
[ARRIVAL] t=02595 ARRIVAL +1 | queue=693 | rejected_total=0
[ARRIVAL] t=02596 ARRIVAL +1 | queue=694 | rejected_total=0
[ARRIVAL] t=02597 ARRIVAL +1 | queue=694 | rejected_total=0
[COMPLETE] t=02600 COMPLETE server=6 | completed=1468
[ASSIGN] t=02600 ASSIGN server=6 job=S time=30 | queue=692
[HEARTBEAT] t=02600 queue=692 servers=13 busy=13 completed=1468 rejected=0
[ARRIVAL] t=02601 ARRIVAL +1 | queue=693 | rejected_total=0
[ARRIVAL] t=02609 ARRIVAL +2 | queue=687 | rejected_total=0
[ARRIVAL] t=02617 ARRIVAL +2 | queue=686 | rejected_total=0
[ARRIVAL] t=02620 ARRIVAL +1 | queue=685 | rejected_total=0
[ARRIVAL] t=02627 ARRIVAL +1 | queue=683 | rejected_total=0
[ARRIVAL] t=02631 ARRIVAL +2 | queue=680 | rejected_total=0
[ARRIVAL] t=02641 ARRIVAL +2 | queue=676 | rejected_total=0
[ARRIVAL] t=02642 ARRIVAL +2 | queue=678 | rejected_total=0
[ARRIVAL] t=02647 ARRIVAL +2 | queue=677 | rejected_total=0
[ARRIVAL] t=02653 ARRIVAL +1 | queue=674 | rejected_total=0
[ARRIVAL] t=02657 ARRIVAL +1 | queue=674 | rejected_total=0
[ARRIVAL] t=02667 ARRIVAL +1 | queue=667 | rejected_total=0
[ARRIVAL] t=02669 ARRIVAL +1 | queue=668 | rejected_total=0
[ARRIVAL] t=02671 ARRIVAL +2 | queue=669 | rejected_total=0
[ARRIVAL] t=02675 ARRIVAL +2 | queue=669 | rejected_total=0
[ARRIVAL] t=02685 ARRIVAL +1 | queue=664 | rejected_total=0
[ARRIVAL] t=02686 ARRIVAL +2 | queue=666 | rejected_total=0
[ARRIVAL] t=02687 ARRIVAL +2 | queue=667 | rejected_total=0
[ARRIVAL] t=02690 ARRIVAL +1 | queue=667 | rejected_total=0
[ARRIVAL] t=02691 ARRIVAL +1 | queue=668 | rejected_total=0
[ARRIVAL] t=02694 ARRIVAL +1 | queue=667 | rejected_total=0
[ARRIVAL] t=02697 ARRIVAL +2 | queue=666 | rejected_total=0
[ARRIVAL] t=02698 ARRIVAL +2 | queue=668 | rejected_total=0
[HEARTBEAT] t=02700 queue=667 servers=13 busy=13 completed=1528 rejected=0
[ARRIVAL] t=02701 ARRIVAL +1 | queue=667 | rejected_total=0
[ARRIVAL] t=02702 ARRIVAL +2 | queue=667 | rejected_total=0
[ARRIVAL] t=02704 ARRIVAL +2 | queue=667 | rejected_total=0
[ARRIVAL] t=02705 ARRIVAL +2 | queue=669 | rejected_total=0
[ARRIVAL] t=02706 ARRIVAL +2 | queue=671 | rejected_total=0
[ARRIVAL] t=02708 ARRIVAL +1 | queue=670 | rejected_total=0
[ARRIVAL] t=02709 ARRIVAL +2 | queue=672 | rejected_total=0
[ARRIVAL] t=02711 ARRIVAL +1 | queue=672 | rejected_total=0
[ARRIVAL] t=02712 ARRIVAL +1 | queue=672 | rejected_total=0
[ARRIVAL] t=02715 ARRIVAL +2 | queue=673 | rejected_total=0
[ARRIVAL] t=02720 ARRIVAL +2 | queue=671 | rejected_total=0
[ARRIVAL] t=02722 ARRIVAL +2 | queue=671 | rejected_total=0
[ARRIVAL] t=02724 ARRIVAL +2 | queue=671 | rejected_total=0
[ARRIVAL] t=02726 ARRIVAL +2 | queue=673 | rejected_total=0
[ARRIVAL] t=02732 ARRIVAL +1 | queue=669 | rejected_total=0
[ARRIVAL] t=02733 ARRIVAL +2 | queue=671 | rejected_total=0
[ARRIVAL] t=02736 ARRIVAL +2 | queue=670 | rejected_total=0
[ARRIVAL] t=02737 ARRIVAL +1 | queue=671 | rejected_total=0
[ARRIVAL] t=02738 ARRIVAL +1 | queue=671 | rejected_total=0
[ARRIVAL] t=02744 ARRIVAL +1 | queue=669 | rejected_total=0
[ARRIVAL] t=02748 ARRIVAL +1 | queue=668 | rejected_total=0
[ARRIVAL] t=02749 ARRIVAL +1 | queue=669 | rejected_total=0
[ARRIVAL] t=02752 ARRIVAL +2 | queue=670 | rejected_total=0
[ARRIVAL] t=02756 ARRIVAL +2 | queue=668 | rejected_total=0
[ARRIVAL] t=02758 ARRIVAL +1 | queue=668 | rejected_total=0
[ARRIVAL] t=02760 ARRIVAL +2 | queue=670 | rejected_total=0
[ARRIVAL] t=02761 ARRIVAL +2 | queue=671 | rejected_total=0
[ARRIVAL] t=02763 ARRIVAL +2 | queue=673 | rejected_total=0
[ARRIVAL] t=02773 ARRIVAL +2 | queue=669 | rejected_total=0
[ARRIVAL] t=02775 ARRIVAL +1 | queue=669 | rejected_total=0
[ARRIVAL] t=02779 ARRIVAL +2 | queue=668 | rejected_total=0
[ARRIVAL] t=02781 ARRIVAL +1 | queue=668 | rejected_total=0
[ARRIVAL] t=02782 ARRIVAL +1 | queue=668 | rejected_total=0
[ARRIVAL] t=02791 ARRIVAL +1 | queue=665 | rejected_total=0
[ARRIVAL] t=02797 ARRIVAL +1 | queue=664 | rejected_total=0
[ARRIVAL] t=02799 ARRIVAL +2 | queue=663 | rejected_total=0
[HEARTBEAT] t=02800 queue=663 servers=13 busy=13 completed=1588 rejected=0
[ARRIVAL] t=02803 ARRIVAL +2 | queue=662 | rejected_total=0
[ARRIVAL] t=02805 ARRIVAL +2 | queue=663 | rejected_total=0
[ARRIVAL] t=02807 ARRIVAL +2 | queue=664 | rejected_total=0
[ARRIVAL] t=02808 ARRIVAL +2 | queue=666 | rejected_total=0
[ARRIVAL] t=02810 ARRIVAL +2 | queue=667 | rejected_total=0
[ARRIVAL] t=02816 ARRIVAL +2 | queue=668 | rejected_total=0
[ARRIVAL] t=02817 ARRIVAL +2 | queue=668 | rejected_total=0
[ARRIVAL] t=02818 ARRIVAL +1 | queue=669 | rejected_total=0
[ARRIVAL] t=02826 ARRIVAL +2 | queue=666 | rejected_total=0
[ARRIVAL] t=02827 ARRIVAL +1 | queue=667 | rejected_total=0
[ARRIVAL] t=02830 ARRIVAL +1 | queue=666 | rejected_total=0
[ARRIVAL] t=02836 ARRIVAL +1 | queue=664 | rejected_total=0
[ARRIVAL] t=02838 ARRIVAL +1 | queue=665 | rejected_total=0
[ARRIVAL] t=02839 ARRIVAL +2 | queue=667 | rejected_total=0
[ARRIVAL] t=02844 ARRIVAL +1 | queue=665 | rejected_total=0
[ARRIVAL] t=02847 ARRIVAL +1 | queue=665 | rejected_total=0
[ARRIVAL] t=02849 ARRIVAL +2 | queue=667 | rejected_total=0
[ARRIVAL] t=02852 ARRIVAL +1 | queue=666 | rejected_total=0
[ARRIVAL] t=02856 ARRIVAL +1 | queue=662 | rejected_total=0
[ARRIVAL] t=02858 ARRIVAL +1 | queue=662 | rejected_total=0
[ARRIVAL] t=02864 ARRIVAL +1 | queue=661 | rejected_total=0
[ARRIVAL] t=02867 ARRIVAL +1 | queue=662 | rejected_total=0
[ARRIVAL] t=02872 ARRIVAL +1 | queue=660 | rejected_total=0
[ARRIVAL] t=02874 ARRIVAL +1 | queue=656 | rejected_total=0
[ARRIVAL] t=02875 ARRIVAL +2 | queue=658 | rejected_total=0
[ARRIVAL] t=02879 ARRIVAL +1 | queue=659 | rejected_total=0
[ARRIVAL] t=02882 ARRIVAL +1 | queue=656 | rejected_total=0
[ARRIVAL] t=02883 ARRIVAL +1 | queue=657 | rejected_total=0
[ARRIVAL] t=02888 ARRIVAL +2 | queue=657 | rejected_total=0
[ARRIVAL] t=02891 ARRIVAL +1 | queue=657 | rejected_total=0
[ARRIVAL] t=02892 ARRIVAL +2 | queue=656 | rejected_total=0
[ARRIVAL] t=02894 ARRIVAL +1 | queue=656 | rejected_total=0
[ARRIVAL] t=02897 ARRIVAL +1 | queue=657 | rejected_total=0
[ARRIVAL] t=02898 ARRIVAL +1 | queue=658 | rejected_total=0
[ARRIVAL] t=02900 ARRIVAL +1 | queue=659 | rejected_total=0
[HEARTBEAT] t=02900 queue=659 servers=13 busy=13 completed=1640 rejected=0
[ARRIVAL] t=02902 ARRIVAL +1 | queue=659 | rejected_total=0
[ARRIVAL] t=02903 ARRIVAL +1 | queue=659 | rejected_total=0
[ARRIVAL] t=02909 ARRIVAL +2 | queue=656 | rejected_total=0
[ARRIVAL] t=02910 ARRIVAL +2 | queue=658 | rejected_total=0
[ARRIVAL] t=02914 ARRIVAL +2 | queue=656 | rejected_total=0
[ARRIVAL] t=02919 ARRIVAL +1 | queue=654 | rejected_total=0
[ARRIVAL] t=02927 ARRIVAL +1 | queue=648 | rejected_total=0
[ARRIVAL] t=02928 ARRIVAL +1 | queue=648 | rejected_total=0
[ARRIVAL] t=02930 ARRIVAL +1 | queue=648 | rejected_total=0
[ARRIVAL] t=02935 ARRIVAL +2 | queue=647 | rejected_total=0
[ARRIVAL] t=02940 ARRIVAL +2 | queue=647 | rejected_total=0
[ARRIVAL] t=02945 ARRIVAL +2 | queue=646 | rejected_total=0
[ARRIVAL] t=02946 ARRIVAL +1 | queue=647 | rejected_total=0
[ARRIVAL] t=02949 ARRIVAL +2 | queue=649 | rejected_total=0
[ARRIVAL] t=02953 ARRIVAL +1 | queue=643 | rejected_total=0
[ARRIVAL] t=02954 ARRIVAL +1 | queue=644 | rejected_total=0
[ARRIVAL] t=02967 ARRIVAL +1 | queue=644 | rejected_total=0
[ARRIVAL] t=02969 ARRIVAL +1 | queue=643 | rejected_total=0
[ARRIVAL] t=02971 ARRIVAL +2 | queue=643 | rejected_total=0
[ARRIVAL] t=02972 ARRIVAL +1 | queue=644 | rejected_total=0
[ARRIVAL] t=02976 ARRIVAL +1 | queue=644 | rejected_total=0
[ARRIVAL] t=02977 ARRIVAL +2 | queue=645 | rejected_total=0
[ARRIVAL] t=02979 ARRIVAL +1 | queue=642 | rejected_total=0
[ARRIVAL] t=02981 ARRIVAL +2 | queue=644 | rejected_total=0
[ARRIVAL] t=02983 ARRIVAL +1 | queue=642 | rejected_total=0
[ARRIVAL] t=02986 ARRIVAL +1 | queue=641 | rejected_total=0
[ARRIVAL] t=02987 ARRIVAL +2 | queue=642 | rejected_total=0
[ARRIVAL] t=02990 ARRIVAL +1 | queue=640 | rejected_total=0
[ARRIVAL] t=02993 ARRIVAL +1 | queue=639 | rejected_total=0
[ARRIVAL] t=02998 ARRIVAL +2 | queue=637 | rejected_total=0
[ARRIVAL] t=03000 ARRIVAL +2 | queue=639 | rejected_total=0
[HEARTBEAT] t=03000 queue=639 servers=13 busy=13 completed=1704 rejected=0
[ARRIVAL] t=03002 ARRIVAL +2 | queue=638 | rejected_total=0
[ARRIVAL] t=03004 ARRIVAL +2 | queue=639 | rejected_total=0
[ARRIVAL] t=03005 ARRIVAL +2 | queue=641 | rejected_total=0
[ARRIVAL] t=03007 ARRIVAL +1 | queue=642 | rejected_total=0
[ARRIVAL] t=03009 ARRIVAL +1 | queue=642 | rejected_total=0
[ARRIVAL] t=03010 ARRIVAL +1 | queue=643 | rejected_total=0
[ARRIVAL] t=03013 ARRIVAL +1 | queue=642 | rejected_total=0
[ARRIVAL] t=03015 ARRIVAL +1 | queue=643 | rejected_total=0
[ARRIVAL] t=03018 ARRIVAL +2 | queue=643 | rejected_total=0
[ARRIVAL] t=03021 ARRIVAL +2 | queue=643 | rejected_total=0
[ARRIVAL] t=03028 ARRIVAL +1 | queue=640 | rejected_total=0
[ARRIVAL] t=03032 ARRIVAL +1 | queue=641 | rejected_total=0
[ARRIVAL] t=03038 ARRIVAL +1 | queue=638 | rejected_total=0
[ARRIVAL] t=03039 ARRIVAL +1 | queue=639 | rejected_total=0
[ARRIVAL] t=03045 ARRIVAL +1 | queue=633 | rejected_total=0
[ARRIVAL] t=03050 ARRIVAL +1 | queue=633 | rejected_total=0
[ARRIVAL] t=03054 ARRIVAL +1 | queue=633 | rejected_total=0
[ARRIVAL] t=03059 ARRIVAL +1 | queue=630 | rejected_total=0
[ARRIVAL] t=03064 ARRIVAL +1 | queue=628 | rejected_total=0
[ARRIVAL] t=03066 ARRIVAL +2 | queue=628 | rejected_total=0
[ARRIVAL] t=03069 ARRIVAL +2 | queue=629 | rejected_total=0
[ARRIVAL] t=03071 ARRIVAL +1 | queue=630 | rejected_total=0
[ARRIVAL] t=03072 ARRIVAL +1 | queue=630 | rejected_total=0
[ARRIVAL] t=03073 ARRIVAL +2 | queue=632 | rejected_total=0
[ARRIVAL] t=03075 ARRIVAL +2 | queue=634 | rejected_total=0
[ARRIVAL] t=03078 ARRIVAL +1 | queue=633 | rejected_total=0
[ARRIVAL] t=03084 ARRIVAL +2 | queue=632 | rejected_total=0
[ARRIVAL] t=03085 ARRIVAL +1 | queue=632 | rejected_total=0
[ARRIVAL] t=03086 ARRIVAL +1 | queue=633 | rejected_total=0
[ARRIVAL] t=03088 ARRIVAL +1 | queue=632 | rejected_total=0
[ARRIVAL] t=03089 ARRIVAL +2 | queue=634 | rejected_total=0
[ARRIVAL] t=03091 ARRIVAL +2 | queue=634 | rejected_total=0
[ARRIVAL] t=03093 ARRIVAL +1 | queue=632 | rejected_total=0
[ARRIVAL] t=03098 ARRIVAL +1 | queue=630 | rejected_total=0
[ARRIVAL] t=03099 ARRIVAL +1 | queue=631 | rejected_total=0
[HEARTBEAT] t=03100 queue=631 servers=13 busy=13 completed=1759 rejected=0
[ARRIVAL] t=03108 ARRIVAL +2 | queue=628 | rejected_total=0
[ARRIVAL] t=03115 ARRIVAL +1 | queue=623 | rejected_total=0
[ARRIVAL] t=03117 ARRIVAL +2 | queue=625 | rejected_total=0
[ARRIVAL] t=03118 ARRIVAL +2 | queue=627 | rejected_total=0
[ARRIVAL] t=03123 ARRIVAL +1 | queue=626 | rejected_total=0
[ARRIVAL] t=03125 ARRIVAL +1 | queue=626 | rejected_total=0
[ARRIVAL] t=03127 ARRIVAL +1 | queue=626 | rejected_total=0
[ARRIVAL] t=03130 ARRIVAL +1 | queue=626 | rejected_total=0
[ARRIVAL] t=03133 ARRIVAL +1 | queue=626 | rejected_total=0
[ARRIVAL] t=03135 ARRIVAL +1 | queue=625 | rejected_total=0
[ARRIVAL] t=03142 ARRIVAL +1 | queue=620 | rejected_total=0
[ARRIVAL] t=03148 ARRIVAL +2 | queue=617 | rejected_total=0
[ARRIVAL] t=03154 ARRIVAL +2 | queue=616 | rejected_total=0
[ARRIVAL] t=03155 ARRIVAL +1 | queue=617 | rejected_total=0
[ARRIVAL] t=03157 ARRIVAL +1 | queue=617 | rejected_total=0
[ARRIVAL] t=03160 ARRIVAL +2 | queue=617 | rejected_total=0
[ARRIVAL] t=03161 ARRIVAL +2 | queue=619 | rejected_total=0
[ARRIVAL] t=03169 ARRIVAL +1 | queue=614 | rejected_total=0
[ARRIVAL] t=03172 ARRIVAL +1 | queue=613 | rejected_total=0
[ARRIVAL] t=03174 ARRIVAL +1 | queue=613 | rejected_total=0
[ARRIVAL] t=03176 ARRIVAL +1 | queue=611 | rejected_total=0
[ARRIVAL] t=03177 ARRIVAL +1 | queue=612 | rejected_total=0
[ARRIVAL] t=03178 ARRIVAL +2 | queue=614 | rejected_total=0
[ARRIVAL] t=03182 ARRIVAL +1 | queue=613 | rejected_total=0
[ARRIVAL] t=03183 ARRIVAL +1 | queue=612 | rejected_total=0
[ARRIVAL] t=03184 ARRIVAL +1 | queue=612 | rejected_total=0
[ARRIVAL] t=03187 ARRIVAL +2 | queue=613 | rejected_total=0
[ARRIVAL] t=03192 ARRIVAL +2 | queue=611 | rejected_total=0
[ARRIVAL] t=03193 ARRIVAL +2 | queue=613 | rejected_total=0
[ARRIVAL] t=03195 ARRIVAL +1 | queue=614 | rejected_total=0
[ARRIVAL] t=03196 ARRIVAL +1 | queue=613 | rejected_total=0
[ARRIVAL] t=03198 ARRIVAL +1 | queue=614 | rejected_total=0
[COMPLETE] t=03200 COMPLETE server=2 | completed=1820
[ASSIGN] t=03200 ASSIGN server=2 job=S time=20 | queue=613
[ARRIVAL] t=03200 ARRIVAL +1 | queue=614 | rejected_total=0
[HEARTBEAT] t=03200 queue=614 servers=13 busy=13 completed=1820 rejected=0
[ARRIVAL] t=03202 ARRIVAL +2 | queue=616 | rejected_total=0
[ARRIVAL] t=03203 ARRIVAL +1 | queue=617 | rejected_total=0
[ARRIVAL] t=03205 ARRIVAL +2 | queue=617 | rejected_total=0
[ARRIVAL] t=03208 ARRIVAL +2 | queue=618 | rejected_total=0
[ARRIVAL] t=03211 ARRIVAL +1 | queue=618 | rejected_total=0
[ARRIVAL] t=03212 ARRIVAL +2 | queue=619 | rejected_total=0
[ARRIVAL] t=03216 ARRIVAL +1 | queue=619 | rejected_total=0
[ARRIVAL] t=03221 ARRIVAL +2 | queue=617 | rejected_total=0
[ARRIVAL] t=03224 ARRIVAL +1 | queue=616 | rejected_total=0
[ARRIVAL] t=03225 ARRIVAL +2 | queue=617 | rejected_total=0
[ARRIVAL] t=03226 ARRIVAL +1 | queue=618 | rejected_total=0
[ARRIVAL] t=03231 ARRIVAL +2 | queue=619 | rejected_total=0
[ARRIVAL] t=03232 ARRIVAL +2 | queue=621 | rejected_total=0
[ARRIVAL] t=03237 ARRIVAL +2 | queue=619 | rejected_total=0
[ARRIVAL] t=03240 ARRIVAL +1 | queue=617 | rejected_total=0
[ARRIVAL] t=03241 ARRIVAL +1 | queue=618 | rejected_total=0
[ARRIVAL] t=03242 ARRIVAL +1 | queue=618 | rejected_total=0
[ARRIVAL] t=03244 ARRIVAL +2 | queue=620 | rejected_total=0
[ARRIVAL] t=03245 ARRIVAL +1 | queue=621 | rejected_total=0
[ARRIVAL] t=03246 ARRIVAL +2 | queue=622 | rejected_total=0
[ARRIVAL] t=03249 ARRIVAL +2 | queue=622 | rejected_total=0
[ARRIVAL] t=03257 ARRIVAL +2 | queue=619 | rejected_total=0
[ARRIVAL] t=03259 ARRIVAL +1 | queue=618 | rejected_total=0
[ARRIVAL] t=03260 ARRIVAL +1 | queue=618 | rejected_total=0
[ARRIVAL] t=03264 ARRIVAL +1 | queue=617 | rejected_total=0
[ARRIVAL] t=03271 ARRIVAL +2 | queue=615 | rejected_total=0
[ARRIVAL] t=03273 ARRIVAL +2 | queue=615 | rejected_total=0
[ARRIVAL] t=03279 ARRIVAL +2 | queue=613 | rejected_total=0
[ARRIVAL] t=03280 ARRIVAL +1 | queue=614 | rejected_total=0
[ARRIVAL] t=03285 ARRIVAL +2 | queue=614 | rejected_total=0
[ARRIVAL] t=03287 ARRIVAL +2 | queue=615 | rejected_total=0
[ARRIVAL] t=03288 ARRIVAL +2 | queue=616 | rejected_total=0
[ARRIVAL] t=03290 ARRIVAL +2 | queue=614 | rejected_total=0
[ARRIVAL] t=03296 ARRIVAL +1 | queue=613 | rejected_total=0
[HEARTBEAT] t=03300 queue=609 servers=13 busy=13 completed=1879 rejected=0
[ARRIVAL] t=03302 ARRIVAL +2 | queue=611 | rejected_total=0
[ARRIVAL] t=03304 ARRIVAL +1 | queue=611 | rejected_total=0
[ARRIVAL] t=03306 ARRIVAL +1 | queue=609 | rejected_total=0
[ARRIVAL] t=03310 ARRIVAL +2 | queue=611 | rejected_total=0
[ARRIVAL] t=03315 ARRIVAL +1 | queue=609 | rejected_total=0
[ARRIVAL] t=03321 ARRIVAL +2 | queue=606 | rejected_total=0
[ARRIVAL] t=03322 ARRIVAL +1 | queue=606 | rejected_total=0
[ARRIVAL] t=03324 ARRIVAL +2 | queue=607 | rejected_total=0
[ARRIVAL] t=03331 ARRIVAL +2 | queue=604 | rejected_total=0
[ARRIVAL] t=03332 ARRIVAL +1 | queue=604 | rejected_total=0
[ARRIVAL] t=03333 ARRIVAL +1 | queue=605 | rejected_total=0
[ARRIVAL] t=03336 ARRIVAL +2 | queue=606 | rejected_total=0
[ARRIVAL] t=03339 ARRIVAL +1 | queue=605 | rejected_total=0
[ARRIVAL] t=03341 ARRIVAL +1 | queue=606 | rejected_total=0
[ARRIVAL] t=03345 ARRIVAL +1 | queue=604 | rejected_total=0
[ARRIVAL] t=03346 ARRIVAL +2 | queue=605 | rejected_total=0
[ARRIVAL] t=03353 ARRIVAL +2 | queue=601 | rejected_total=0
[ARRIVAL] t=03354 ARRIVAL +1 | queue=602 | rejected_total=0
[ARRIVAL] t=03365 ARRIVAL +1 | queue=599 | rejected_total=0
[ARRIVAL] t=03378 ARRIVAL +1 | queue=593 | rejected_total=0
[ARRIVAL] t=03381 ARRIVAL +2 | queue=593 | rejected_total=0
[ARRIVAL] t=03385 ARRIVAL +2 | queue=593 | rejected_total=0
[ARRIVAL] t=03387 ARRIVAL +2 | queue=593 | rejected_total=0
[HEARTBEAT] t=03400 queue=587 servers=13 busy=13 completed=1935 rejected=0
[ARRIVAL] t=03403 ARRIVAL +2 | queue=586 | rejected_total=0
[ARRIVAL] t=03406 ARRIVAL +2 | queue=585 | rejected_total=0
[ARRIVAL] t=03410 ARRIVAL +1 | queue=582 | rejected_total=0
[ARRIVAL] t=03414 ARRIVAL +2 | queue=582 | rejected_total=0
[ARRIVAL] t=03419 ARRIVAL +2 | queue=581 | rejected_total=0
[ARRIVAL] t=03422 ARRIVAL +1 | queue=581 | rejected_total=0
[ARRIVAL] t=03428 ARRIVAL +2 | queue=579 | rejected_total=0
[ARRIVAL] t=03435 ARRIVAL +1 | queue=575 | rejected_total=0
[ARRIVAL] t=03436 ARRIVAL +1 | queue=576 | rejected_total=0
[ARRIVAL] t=03437 ARRIVAL +1 | queue=577 | rejected_total=0
[ARRIVAL] t=03444 ARRIVAL +2 | queue=577 | rejected_total=0
[ARRIVAL] t=03449 ARRIVAL +2 | queue=573 | rejected_total=0
[ARRIVAL] t=03453 ARRIVAL +1 | queue=571 | rejected_total=0
[ARRIVAL] t=03454 ARRIVAL +2 | queue=572 | rejected_total=0
[ARRIVAL] t=03459 ARRIVAL +2 | queue=572 | rejected_total=0
[ARRIVAL] t=03462 ARRIVAL +2 | queue=574 | rejected_total=0
[ARRIVAL] t=03464 ARRIVAL +2 | queue=576 | rejected_total=0
[ARRIVAL] t=03467 ARRIVAL +2 | queue=576 | rejected_total=0
[ARRIVAL] t=03468 ARRIVAL +1 | queue=576 | rejected_total=0
[ARRIVAL] t=03474 ARRIVAL +2 | queue=572 | rejected_total=0
[ARRIVAL] t=03475 ARRIVAL +2 | queue=574 | rejected_total=0
[ARRIVAL] t=03479 ARRIVAL +1 | queue=574 | rejected_total=0
[ARRIVAL] t=03480 ARRIVAL +1 | queue=575 | rejected_total=0
[ARRIVAL] t=03488 ARRIVAL +1 | queue=570 | rejected_total=0
[ARRIVAL] t=03489 ARRIVAL +2 | queue=572 | rejected_total=0
[ARRIVAL] t=03490 ARRIVAL +2 | queue=574 | rejected_total=0
[ARRIVAL] t=03491 ARRIVAL +2 | queue=575 | rejected_total=0
[ARRIVAL] t=03495 ARRIVAL +1 | queue=573 | rejected_total=0
